id,warehouse_id,bin_code,description,capacity_units,current_occupancy_units,status,created_at
"1","1","WH-HCM-01-A-R01-01-L1","Row 1, Rack 1, Level 1 (A zone)","20","0","active","2024-01-01 00:00:00"
"2","1","WH-HCM-01-A-R01-01-L2","Row 1, Rack 1, Level 2 (A zone)","20","14","active","2024-01-01 00:00:00"
"3","1","WH-HCM-01-A-R01-01-L3","Row 1, Rack 1, Level 3 (A zone)","20","0","active","2024-01-01 00:00:00"
"4","1","WH-HCM-01-A-R01-01-L4","Row 1, Rack 1, Level 4 (A zone)","20","8","active","2024-01-01 00:00:00"
"5","1","WH-HCM-01-A-R01-02-L1","Row 1, Rack 2, Level 1 (A zone)","20","1","active","2024-01-01 00:00:00"
"6","1","WH-HCM-01-A-R01-02-L2","Row 1, Rack 2, Level 2 (A zone)","20","5","active","2024-01-01 00:00:00"
"7","1","WH-HCM-01-A-R01-02-L3","Row 1, Rack 2, Level 3 (A zone)","20","13","active","2024-01-01 00:00:00"
"8","1","WH-HCM-01-A-R01-02-L4","Row 1, Rack 2, Level 4 (A zone)","20","13","active","2024-01-01 00:00:00"
"9","1","WH-HCM-01-A-R01-03-L1","Row 1, Rack 3, Level 1 (A zone)","20","1","active","2024-01-01 00:00:00"
"10","1","WH-HCM-01-A-R01-03-L2","Row 1, Rack 3, Level 2 (A zone)","20","10","active","2024-01-01 00:00:00"
"11","1","WH-HCM-01-A-R01-03-L3","Row 1, Rack 3, Level 3 (A zone)","20","8","active","2024-01-01 00:00:00"
"12","1","WH-HCM-01-A-R01-03-L4","Row 1, Rack 3, Level 4 (A zone)","20","5","active","2024-01-01 00:00:00"
"13","1","WH-HCM-01-A-R01-04-L1","Row 1, Rack 4, Level 1 (A zone)","20","13","active","2024-01-01 00:00:00"
"14","1","WH-HCM-01-A-R01-04-L2","Row 1, Rack 4, Level 2 (A zone)","20","11","active","2024-01-01 00:00:00"
"15","1","WH-HCM-01-A-R01-04-L3","Row 1, Rack 4, Level 3 (A zone)","20","9","active","2024-01-01 00:00:00"
"16","1","WH-HCM-01-A-R01-04-L4","Row 1, Rack 4, Level 4 (A zone)","20","12","active","2024-01-01 00:00:00"
"17","1","WH-HCM-01-A-R01-05-L1","Row 1, Rack 5, Level 1 (A zone)","20","14","active","2024-01-01 00:00:00"
"18","1","WH-HCM-01-A-R01-05-L2","Row 1, Rack 5, Level 2 (A zone)","20","5","active","2024-01-01 00:00:00"
"19","1","WH-HCM-01-A-R01-05-L3","Row 1, Rack 5, Level 3 (A zone)","20","15","active","2024-01-01 00:00:00"
"20","1","WH-HCM-01-A-R01-05-L4","Row 1, Rack 5, Level 4 (A zone)","20","8","active","2024-01-01 00:00:00"
"21","1","WH-HCM-01-A-R02-01-L1","Row 2, Rack 1, Level 1 (A zone)","20","7","active","2024-01-01 00:00:00"
"22","1","WH-HCM-01-A-R02-01-L2","Row 2, Rack 1, Level 2 (A zone)","20","13","active","2024-01-01 00:00:00"
"23","1","WH-HCM-01-A-R02-01-L3","Row 2, Rack 1, Level 3 (A zone)","20","7","active","2024-01-01 00:00:00"
"24","1","WH-HCM-01-A-R02-01-L4","Row 2, Rack 1, Level 4 (A zone)","20","4","active","2024-01-01 00:00:00"
"25","1","WH-HCM-01-A-R02-02-L1","Row 2, Rack 2, Level 1 (A zone)","20","3","active","2024-01-01 00:00:00"
"26","1","WH-HCM-01-A-R02-02-L2","Row 2, Rack 2, Level 2 (A zone)","20","8","active","2024-01-01 00:00:00"
"27","1","WH-HCM-01-A-R02-02-L3","Row 2, Rack 2, Level 3 (A zone)","20","13","active","2024-01-01 00:00:00"
"28","1","WH-HCM-01-A-R02-02-L4","Row 2, Rack 2, Level 4 (A zone)","20","13","active","2024-01-01 00:00:00"
"29","1","WH-HCM-01-A-R02-03-L1","Row 2, Rack 3, Level 1 (A zone)","20","3","active","2024-01-01 00:00:00"
"30","1","WH-HCM-01-A-R02-03-L2","Row 2, Rack 3, Level 2 (A zone)","20","1","active","2024-01-01 00:00:00"
"31","1","WH-HCM-01-A-R02-03-L3","Row 2, Rack 3, Level 3 (A zone)","20","0","active","2024-01-01 00:00:00"
"32","1","WH-HCM-01-A-R02-03-L4","Row 2, Rack 3, Level 4 (A zone)","20","2","active","2024-01-01 00:00:00"
"33","1","WH-HCM-01-A-R02-04-L1","Row 2, Rack 4, Level 1 (A zone)","20","11","active","2024-01-01 00:00:00"
"34","1","WH-HCM-01-A-R02-04-L2","Row 2, Rack 4, Level 2 (A zone)","20","0","active","2024-01-01 00:00:00"
"35","1","WH-HCM-01-A-R02-04-L3","Row 2, Rack 4, Level 3 (A zone)","20","11","active","2024-01-01 00:00:00"
"36","1","WH-HCM-01-A-R02-04-L4","Row 2, Rack 4, Level 4 (A zone)","20","10","active","2024-01-01 00:00:00"
"37","1","WH-HCM-01-A-R02-05-L1","Row 2, Rack 5, Level 1 (A zone)","20","12","active","2024-01-01 00:00:00"
"38","1","WH-HCM-01-A-R02-05-L2","Row 2, Rack 5, Level 2 (A zone)","20","5","active","2024-01-01 00:00:00"
"39","1","WH-HCM-01-A-R02-05-L3","Row 2, Rack 5, Level 3 (A zone)","20","3","active","2024-01-01 00:00:00"
"40","1","WH-HCM-01-A-R02-05-L4","Row 2, Rack 5, Level 4 (A zone)","20","14","active","2024-01-01 00:00:00"
"41","1","WH-HCM-01-A-R03-01-L1","Row 3, Rack 1, Level 1 (A zone)","20","2","active","2024-01-01 00:00:00"
"42","1","WH-HCM-01-A-R03-01-L2","Row 3, Rack 1, Level 2 (A zone)","20","6","active","2024-01-01 00:00:00"
"43","1","WH-HCM-01-A-R03-01-L3","Row 3, Rack 1, Level 3 (A zone)","20","7","active","2024-01-01 00:00:00"
"44","1","WH-HCM-01-A-R03-01-L4","Row 3, Rack 1, Level 4 (A zone)","20","11","active","2024-01-01 00:00:00"
