id,credit_note_number,customer_id,invoice_id,reason,credit_date,status,total_amount,description,notes,created_at,updated_at
"1","CN-2026-00001","148","","Customer Return","2024-08-23","draft","4938371","","","2025-03-27 02:24:36","2024-07-30 21:06:44"
"2","CN-2026-00002","141","","Damaged Goods","2024-04-10","applied","2493152","","","2025-01-04 05:19:56","2024-07-29 23:50:28"
"3","CN-2026-00003","131","","Cancelled Order","2024-10-20","cancelled","9822973","","","2024-08-06 22:09:44","2024-11-18 17:20:18"
"4","CN-2026-00004","152","","Damaged Goods","2025-01-30","cancelled","8998043","","","2024-10-19 14:49:53","2024-02-24 18:52:56"
"5","CN-2026-00005","130","","Quality Issue","2024-04-17","posted","835788","","","2024-01-20 11:30:54","2024-10-12 14:27:38"
"6","CN-2026-00006","17","","Cancelled Order","2024-04-02","cancelled","9206902","","","2024-02-01 13:58:13","2025-01-07 16:23:27"
"7","CN-2026-00007","51","","Cancelled Order","2024-07-17","posted","718337","","","2025-02-21 20:06:38","2024-01-29 16:10:06"
"8","CN-2026-00008","170","","Price Adjustment","2024-12-20","cancelled","2410225","","","2024-08-03 18:04:00","2024-12-30 13:41:36"
"9","CN-2026-00009","155","","Price Adjustment","2024-11-13","draft","2235329","","","2024-06-15 02:25:21","2025-03-14 08:20:12"
"10","CN-2026-00010","90","119","Quality Issue","2024-11-10","cancelled","3789343","","","2024-06-06 20:24:26","2024-06-28 06:37:30"
"11","CN-2026-00011","53","","Price Adjustment","2025-03-11","applied","1163501","","","2025-01-31 03:16:59","2024-04-18 01:50:15"
"12","CN-2026-00012","93","","Wrong Item Shipped","2024-07-21","posted","4644395","","","2025-03-06 09:42:29","2024-04-24 11:49:47"
"13","CN-2026-00013","118","","Price Adjustment","2025-01-07","applied","7568136","","","2024-07-03 22:07:20","2025-03-08 14:39:58"
"14","CN-2026-00014","192","","Wrong Item Shipped","2024-08-26","draft","9730328","","","2024-10-14 15:48:47","2024-09-01 13:23:14"
"15","CN-2026-00015","110","","Wrong Item Shipped","2025-04-07","posted","2960056","","","2024-09-18 17:37:14","2024-03-14 02:07:31"
"16","CN-2026-00016","108","","Damaged Goods","2024-05-23","posted","7205231","","","2024-05-18 01:46:14","2025-04-18 13:53:59"
"17","CN-2026-00017","17","","Customer Return","2024-06-27","posted","7109967","","","2025-02-06 15:12:35","2025-04-24 02:54:01"
"18","CN-2026-00018","180","88","Price Adjustment","2025-04-05","applied","2499878","","","2024-12-25 05:53:15","2025-02-10 21:29:00"
"19","CN-2026-00019","174","","Customer Return","2025-04-22","applied","5679567","","","2024-08-25 23:16:06","2025-04-09 03:42:13"
"20","CN-2026-00020","24","113","Wrong Item Shipped","2025-03-20","draft","3861437","","","2025-01-01 17:58:55","2024-12-20 22:25:39"
"21","CN-2026-00021","17","","Price Adjustment","2024-01-17","draft","6063587","","","2024-05-17 01:22:56","2024-01-17 12:13:05"
"22","CN-2026-00022","100","","Wrong Item Shipped","2025-02-22","applied","3623922","","","2024-07-01 00:46:25","2024-03-01 23:26:12"
"23","CN-2026-00023","52","","Damaged Goods","2024-08-28","cancelled","9837688","","","2024-03-08 16:35:42","2024-07-19 22:17:14"
"24","CN-2026-00024","179","","Quality Issue","2024-10-15","applied","1885807","","","2024-06-09 22:36:39","2024-08-31 03:03:29"
"25","CN-2026-00025","200","81","Overcharge","2025-03-06","posted","30094602","","","2024-07-18 19:31:33","2024-07-09 00:08:19"
"26","CN-2026-00026","172","","Quality Issue","2024-10-09","cancelled","8478635","","","2024-03-11 06:19:49","2024-11-29 02:28:43"
"27","CN-2026-00027","89","","Price Adjustment","2024-09-08","applied","4359243","","","2024-03-18 07:00:12","2024-02-03 02:07:13"
"28","CN-2026-00028","170","","Price Adjustment","2024-04-21","posted","1112348","","","2024-05-27 03:14:17","2025-03-31 07:47:26"
"29","CN-2026-00029","57","64","Wrong Item Shipped","2025-04-27","posted","5501405","","","2024-02-06 15:54:25","2024-06-28 09:03:18"
"30","CN-2026-00030","116","116","Cancelled Order","2025-02-13","cancelled","3567476","","","2024-07-15 08:03:59","2024-03-26 02:13:32"
