id,customer_id,sales_order_id,status,total_amount,due_date
"1","55","13","partial_paid","4388.75","2026-06-06"
"2","8","1","cancelled","5229.58","2026-04-24"
"3","66","17","draft","8790.05","2026-06-08"
"4","17","12","paid","40363.03","2026-05-29"
"5","34","2","sent","42902.65","2026-05-15"
"6","53","43","draft","20350.83","2026-05-12"
"7","52","3","sent","49662.82","2026-04-22"
"8","23","11","draft","10851.72","2026-05-28"
"9","79","14","overdue","17052.51","2026-05-19"
"10","60","41","paid","4552.19","2026-04-20"
"11","57","18","partial_paid","27541.29","2026-05-17"
"12","8","11","overdue","16030.74","2026-05-16"
"13","57","26","paid","11228.28","2026-06-02"
"14","17","29","overdue","4116.77","2026-04-27"
"15","91","43","sent","12152.70","2026-06-07"
"16","86","14","sent","17266.83","2026-04-17"
"17","10","39","issued","47982.33","2026-05-16"
"18","56","13","cancelled","5504.73","2026-05-06"
"19","29","10","paid","47422.25","2026-06-02"
"20","69","29","cancelled","24212.95","2026-05-08"
"21","37","15","sent","4726.66","2026-05-14"
"22","27","36","partial_paid","23847.19","2026-04-24"
"23","10","26","sent","44290.46","2026-05-24"
"24","11","34","overdue","26236.83","2026-05-05"
"25","7","42","sent","4475.95","2026-05-24"
"26","53","4","draft","40436.60","2026-05-06"
"27","53","14","overdue","40031.29","2026-05-17"
"28","31","15","sent","19636.38","2026-06-06"
"29","93","19","partial_paid","13997.39","2026-05-13"
"30","93","33","paid","37151.93","2026-04-19"
"31","100","32","cancelled","37222.50","2026-04-23"
"32","100","27","sent","20854.06","2026-06-01"
"33","78","26","paid","46461.28","2026-06-04"
"34","25","22","draft","49150.32","2026-05-09"
"35","6","5","issued","17737.89","2026-05-19"
"36","2","46","paid","36155.38","2026-04-27"
"37","22","39","draft","11661.16","2026-05-02"
"38","44","35","overdue","39310.18","2026-05-19"
"39","58","25","sent","42020.86","2026-04-16"
"40","8","44","draft","19942.20","2026-05-08"
"41","72","13","partial_paid","14311.71","2026-05-18"
"42","99","19","paid","12855.95","2026-05-20"
"43","37","11","paid","12766.52","2026-05-29"
"44","50","19","overdue","32037.68","2026-06-07"
"45","13","17","issued","10933.02","2026-04-29"
"46","35","45","draft","2190.16","2026-05-25"
"47","5","25","draft","22446.49","2026-05-14"
"48","42","36","partial_paid","30036.20","2026-05-11"
"49","67","20","cancelled","31698.54","2026-04-22"
"50","26","15","sent","20498.21","2026-04-13"
