id,debit_note_number,supplier_id,bill_id,debit_date,status,total_amount,reason,notes,created_at
1,DN-00001,816,20,2026-03-08,issued,8222.81,Price Adjustment,,2024-10-05 17:32:09
2,DN-00002,206,22,2026-02-26,draft,3603.03,Supplier Return,,2025-01-19 03:34:16
3,DN-00003,343,45,2026-03-22,draft,14247.48,Supplier Return,,2026-01-07 04:11:38
4,DN-00004,183,37,2026-02-11,applied,2619.43,Supplier Return,,2025-03-25 00:55:40
5,DN-00005,785,2,2026-05-07,issued,1304.38,Quality Issue,,2025-09-13 04:02:07
6,DN-00006,889,15,2026-02-21,draft,4090.17,Quality Issue,,2024-01-12 18:13:58
7,DN-00007,481,29,2026-04-11,issued,18154.61,Supplier Return,,2026-03-30 05:54:58
8,DN-00008,865,47,2026-04-05,applied,3861.58,Short Shipment,,2025-11-01 06:37:12
9,DN-00009,435,8,2026-04-21,draft,19472.85,Quality Issue,,2024-10-17 14:23:56
10,DN-00010,411,32,2026-04-23,applied,7297.41,Damaged Goods,,2025-07-07 06:29:41
