id,product_id,warehouse_id,bin_location_id,quantity_on_hand,last_count_date,created_at
"1","1","4","697","126","2024-03-25","2024-01-01 00:00:00"
"2","2","4","706","193","2024-02-25","2024-01-01 00:00:00"
"3","3","5","878","72","2024-01-31","2024-01-01 00:00:00"
"4","4","1","109","162","2024-03-08","2024-01-01 00:00:00"
"5","5","5","818","62","2024-03-21","2024-01-01 00:00:00"
"6","6","5","945","89","2024-03-19","2024-01-01 00:00:00"
"7","7","5","926","131","2024-03-19","2024-01-01 00:00:00"
"8","8","2","357","205","2024-03-22","2024-01-01 00:00:00"
"9","9","5","986","104","2024-01-29","2024-01-01 00:00:00"
"10","10","1","37","174","2024-01-18","2024-01-01 00:00:00"
"11","11","3","421","163","2024-02-27","2024-01-01 00:00:00"
"12","12","4","718","65","2024-03-04","2024-01-01 00:00:00"
"13","13","5","924","182","2024-02-02","2024-01-01 00:00:00"
"14","14","2","313","101","2024-01-07","2024-01-01 00:00:00"
"15","15","2","210","169","2024-01-19","2024-01-01 00:00:00"
"16","16","1","89","115","2024-02-04","2024-01-01 00:00:00"
"17","17","1","126","212","2024-03-07","2024-01-01 00:00:00"
"18","18","5","933","130","2024-01-31","2024-01-01 00:00:00"
"19","19","4","666","104","2024-03-11","2024-01-01 00:00:00"
"20","20","2","290","164","2024-02-14","2024-01-01 00:00:00"
"21","21","1","157","145","2024-03-29","2024-01-01 00:00:00"
"22","22","1","38","164","2024-03-19","2024-01-01 00:00:00"
"23","23","3","500","179","2024-03-11","2024-01-01 00:00:00"
"24","24","4","787","178","2024-01-17","2024-01-01 00:00:00"
"25","25","1","157","193","2024-02-05","2024-01-01 00:00:00"
"26","26","4","668","195","2024-02-17","2024-01-01 00:00:00"
"27","27","1","93","57","2024-01-02","2024-01-01 00:00:00"
"28","28","2","211","202","2024-02-21","2024-01-01 00:00:00"
"29","29","4","749","85","2024-03-05","2024-01-01 00:00:00"
"30","30","1","192","106","2024-02-18","2024-01-01 00:00:00"
"31","31","5","837","86","2024-01-26","2024-01-01 00:00:00"
"32","32","2","353","60","2024-01-09","2024-01-01 00:00:00"
"33","33","4","734","233","2024-02-13","2024-01-01 00:00:00"
"34","34","1","89","34","2024-02-27","2024-01-01 00:00:00"
"35","35","3","479","194","2024-01-16","2024-01-01 00:00:00"
"36","36","4","774","56","2024-03-27","2024-01-01 00:00:00"
"37","37","5","985","200","2024-01-14","2024-01-01 00:00:00"
"38","38","4","614","74","2024-02-27","2024-01-01 00:00:00"
"39","39","3","477","199","2024-02-16","2024-01-01 00:00:00"
"40","40","3","484","136","2024-01-09","2024-01-01 00:00:00"
"41","41","2","336","96","2024-01-17","2024-01-01 00:00:00"
"42","42","3","563","22","2024-01-26","2024-01-01 00:00:00"
"43","43","5","982","180","2024-01-20","2024-01-01 00:00:00"
"44","44","1","41","178","2024-01-08","2024-01-01 00:00:00"
"45","45","1","132","128","2024-01-19","2024-01-01 00:00:00"
"46","46","4","601","153","2024-02-26","2024-01-01 00:00:00"
"47","47","1","50","77","2024-01-02","2024-01-01 00:00:00"
"48","48","5","868","74","2024-03-12","2024-01-01 00:00:00"
"49","49","3","466","112","2024-01-18","2024-01-01 00:00:00"
"50","50","2","294","61","2024-03-20","2024-01-01 00:00:00"
"51","51","4","676","160","2024-03-01","2024-01-01 00:00:00"
"52","52","2","296","136","2024-03-17","2024-01-01 00:00:00"
"53","53","4","684","73","2024-02-16","2024-01-01 00:00:00"
"54","54","1","198","156","2024-03-13","2024-01-01 00:00:00"
"55","55","4","699","33","2024-03-03","2024-01-01 00:00:00"
"56","56","2","353","82","2024-03-09","2024-01-01 00:00:00"
"57","57","3","546","164","2024-03-10","2024-01-01 00:00:00"
"58","58","5","994","76","2024-03-12","2024-01-01 00:00:00"
"59","59","2","282","194","2024-01-04","2024-01-01 00:00:00"
"60","60","2","302","220","2024-03-24","2024-01-01 00:00:00"
"61","61","4","712","159","2024-01-26","2024-01-01 00:00:00"
"62","62","5","896","190","2024-03-03","2024-01-01 00:00:00"
"63","63","3","499","212","2024-02-26","2024-01-01 00:00:00"
"64","64","4","710","141","2024-01-30","2024-01-01 00:00:00"
"65","65","3","492","130","2024-02-16","2024-01-01 00:00:00"
"66","66","1","196","150","2024-01-25","2024-01-01 00:00:00"
"67","67","4","644","87","2024-03-24","2024-01-01 00:00:00"
"68","68","5","851","92","2024-01-08","2024-01-01 00:00:00"
"69","69","3","582","214","2024-03-12","2024-01-01 00:00:00"
"70","70","4","794","194","2024-02-26","2024-01-01 00:00:00"
"71","71","3","447","45","2024-01-21","2024-01-01 00:00:00"
"72","72","1","177","215","2024-01-09","2024-01-01 00:00:00"
"73","73","5","883","150","2024-02-19","2024-01-01 00:00:00"
"74","74","1","37","199","2024-01-19","2024-01-01 00:00:00"
"75","75","2","395","120","2024-02-05","2024-01-01 00:00:00"
"76","76","5","945","155","2024-01-23","2024-01-01 00:00:00"
"77","77","5","902","144","2024-02-22","2024-01-01 00:00:00"
"78","78","4","652","108","2024-03-15","2024-01-01 00:00:00"
"79","79","5","937","181","2024-03-27","2024-01-01 00:00:00"
"80","80","4","678","80","2024-03-21","2024-01-01 00:00:00"
"81","81","2","231","163","2024-03-20","2024-01-01 00:00:00"
"82","82","3","566","118","2024-03-19","2024-01-01 00:00:00"
"83","83","1","97","69","2024-01-17","2024-01-01 00:00:00"
"84","84","5","829","208","2024-01-29","2024-01-01 00:00:00"
"85","85","2","289","236","2024-02-01","2024-01-01 00:00:00"
"86","86","3","596","143","2024-03-05","2024-01-01 00:00:00"
"87","87","5","842","196","2024-03-27","2024-01-01 00:00:00"
"88","88","5","897","231","2024-03-29","2024-01-01 00:00:00"
"89","89","3","420","79","2024-03-07","2024-01-01 00:00:00"
"90","90","4","681","147","2024-01-17","2024-01-01 00:00:00"
