id,adjustment_number,warehouse_id,adjustment_type,count_date,status,notes,created_at
1,ADJ-00001,1,stock_count,2026-03-11,draft,,2025-12-19 01:09:51
2,ADJ-00002,3,stock_count,2026-03-09,draft,,2024-06-04 10:36:12
3,ADJ-00003,1,stock_count,2026-04-02,confirmed,,2024-11-04 16:19:50
4,ADJ-00004,2,stock_count,2026-03-18,draft,,2024-08-27 01:12:23
5,ADJ-00005,2,stock_count,2026-03-27,completed,,2025-03-16 17:56:19
6,ADJ-00006,2,stock_count,2026-05-01,draft,,2025-11-17 21:38:57
7,ADJ-00007,1,stock_count,2026-02-04,draft,,2024-07-17 22:22:16
8,ADJ-00008,1,stock_count,2026-03-02,completed,,2024-11-24 03:14:03
9,ADJ-00009,3,stock_count,2026-02-05,confirmed,,2025-07-07 10:18:49
10,ADJ-00010,1,stock_count,2026-03-08,completed,,2024-02-03 01:45:29
11,ADJ-00011,3,stock_count,2026-03-15,draft,,2024-10-27 04:43:49
12,ADJ-00012,2,stock_count,2026-04-30,completed,,2024-03-13 14:00:05
13,ADJ-00013,3,stock_count,2026-04-18,draft,,2026-01-23 18:00:54
14,ADJ-00014,3,stock_count,2026-04-16,draft,,2024-02-19 11:59:14
15,ADJ-00015,3,stock_count,2026-04-28,confirmed,,2026-04-27 04:14:44
16,ADJ-00016,3,stock_count,2026-03-30,completed,,2025-03-20 00:57:26
17,ADJ-00017,3,stock_count,2026-03-24,draft,,2024-03-06 04:10:28
18,ADJ-00018,1,stock_count,2026-04-22,draft,,2025-02-27 10:44:23
19,ADJ-00019,3,stock_count,2026-05-10,confirmed,,2026-02-26 21:40:01
20,ADJ-00020,1,stock_count,2026-03-23,confirmed,,2024-09-29 09:48:16
21,ADJ-00021,3,stock_count,2026-03-15,confirmed,,2024-11-04 02:18:50
22,ADJ-00022,3,stock_count,2026-03-04,confirmed,,2025-04-10 21:07:43
23,ADJ-00023,3,stock_count,2026-02-18,confirmed,,2026-04-18 17:36:52
24,ADJ-00024,1,stock_count,2026-04-12,draft,,2026-01-10 13:41:10
25,ADJ-00025,2,stock_count,2026-02-01,completed,,2024-04-04 12:00:28
26,ADJ-00026,2,stock_count,2026-05-03,draft,,2025-08-14 01:59:13
27,ADJ-00027,3,stock_count,2026-03-12,confirmed,,2025-07-26 10:57:47
28,ADJ-00028,1,stock_count,2026-04-29,confirmed,,2025-06-12 07:23:19
29,ADJ-00029,3,stock_count,2026-02-18,draft,,2025-11-22 21:29:49
30,ADJ-00030,2,stock_count,2026-03-14,draft,,2025-10-03 08:24:01
