id,customer_id,sales_order_id,status,total_amount,due_date
"1","501","1","cancelled","9912.50","2026-04-09"
"2","912","28","cancelled","38818.80","2026-05-24"
"3","981","7","draft","36611.16","2026-04-08"
"4","142","12","cancelled","38219.10","2026-05-01"
"5","605","5","issued","25721.58","2026-05-24"
"6","111","47","overdue","36529.88","2026-04-18"
"7","226","28","sent","48771.13","2026-06-05"
"8","949","20","overdue","15996.31","2026-04-08"
"9","141","34","sent","42073.51","2026-06-06"
"10","893","45","sent","33349.23","2026-05-30"
"11","432","24","paid","36586.38","2026-04-26"
"12","738","29","issued","5587.46","2026-05-24"
"13","248","26","cancelled","46888.56","2026-04-10"
"14","627","11","cancelled","24794.18","2026-05-28"
"15","261","50","overdue","14346.30","2026-05-12"
"16","770","35","cancelled","4971.24","2026-05-05"
"17","353","24","sent","38739.77","2026-06-05"
"18","898","38","cancelled","32075.75","2026-05-27"
"19","376","4","draft","3412.44","2026-05-06"
"20","448","32","paid","39499.92","2026-04-16"
"21","14","47","sent","23764.16","2026-05-27"
"22","163","11","draft","29278.79","2026-05-11"
"23","723","17","sent","46546.82","2026-04-26"
"24","301","27","sent","18743.76","2026-06-03"
"25","511","10","cancelled","28881.69","2026-05-09"
"26","179","44","draft","30710.69","2026-04-29"
"27","163","16","sent","39938.44","2026-04-26"
"28","521","10","sent","10539.36","2026-05-04"
"29","394","49","cancelled","31570.41","2026-04-20"
"30","401","28","sent","30264.49","2026-04-08"
"31","107","38","overdue","7956.21","2026-04-19"
"32","18","16","paid","8334.65","2026-04-13"
"33","365","32","cancelled","38884.06","2026-04-14"
"34","39","36","cancelled","21943.92","2026-04-21"
"35","276","1","sent","28081.55","2026-04-12"
"36","324","23","cancelled","31070.33","2026-05-02"
"37","967","11","overdue","23782.58","2026-04-11"
"38","997","21","issued","47378.43","2026-04-20"
"39","293","35","overdue","23455.94","2026-04-25"
"40","835","43","sent","6249.66","2026-04-20"
"41","522","26","issued","12219.28","2026-05-26"
"42","680","48","sent","34250.11","2026-05-25"
"43","552","25","overdue","28434.45","2026-05-10"
"44","287","36","cancelled","45913.55","2026-05-04"
"45","577","21","sent","1701.06","2026-05-20"
"46","608","29","sent","21322.83","2026-05-25"
"47","350","16","sent","25485.72","2026-06-02"
"48","988","1","issued","34250.79","2026-04-16"
"49","817","21","sent","9871.28","2026-05-11"
"50","957","41","partial_paid","41358.99","2026-05-30"
