id,sales_order_id,warehouse_id,status
"1","46","2","shipped"
"2","20","1","shipped"
"3","26","3","draft"
"4","17","3","ready"
"5","46","1","ready"
"6","44","3","in_transit"
"7","18","1","shipped"
"8","1","1","shipped"
"9","41","2","ready"
"10","4","2","cancelled"
"11","34","3","draft"
"12","11","3","draft"
"13","15","3","picked"
"14","2","2","in_transit"
"15","38","3","delivered"
"16","20","1","draft"
"17","49","3","picked"
"18","25","2","in_transit"
"19","3","1","draft"
"20","42","2","picked"
"21","40","2","draft"
"22","10","3","draft"
"23","27","1","picked"
"24","22","2","draft"
"25","6","3","draft"
"26","15","2","cancelled"
"27","9","2","picked"
"28","36","2","delivered"
"29","22","3","cancelled"
"30","1","2","draft"
"31","3","2","delivered"
"32","37","3","shipped"
"33","44","1","shipped"
"34","15","1","delivered"
"35","15","2","in_transit"
"36","32","3","picked"
"37","50","2","cancelled"
"38","48","1","cancelled"
"39","40","3","delivered"
"40","22","1","picked"
"41","9","3","in_transit"
"42","23","3","cancelled"
"43","38","1","in_transit"
"44","9","3","shipped"
"45","12","2","delivered"
"46","42","3","draft"
"47","27","1","ready"
"48","40","1","shipped"
"49","34","2","picked"
"50","38","1","in_transit"
