id,purchase_order_id,warehouse_id,status
"1","19","3","received"
"2","3","3","received"
"3","2","3","verified"
"4","45","2","completed"
"5","10","3","verified"
"6","47","1","received"
"7","29","2","cancelled"
"8","30","1","cancelled"
"9","15","2","cancelled"
"10","27","2","cancelled"
"11","42","2","cancelled"
"12","30","2","received"
"13","42","2","draft"
"14","13","2","draft"
"15","10","1","draft"
"16","44","1","received"
"17","46","1","cancelled"
"18","26","2","draft"
"19","4","2","completed"
"20","38","1","verified"
"21","41","2","cancelled"
"22","25","2","draft"
"23","15","3","draft"
"24","22","2","completed"
"25","5","2","verified"
"26","39","1","verified"
"27","42","2","completed"
"28","35","2","completed"
"29","34","3","completed"
"30","14","1","draft"
"31","34","2","received"
"32","23","3","received"
"33","48","3","received"
"34","45","2","verified"
"35","47","1","draft"
"36","1","1","verified"
"37","21","1","received"
"38","11","2","cancelled"
"39","37","2","received"
"40","35","3","completed"
"41","29","3","completed"
"42","3","3","cancelled"
"43","31","1","completed"
"44","17","1","completed"
"45","31","2","completed"
"46","49","1","received"
"47","41","1","cancelled"
"48","43","1","received"
"49","40","1","verified"
"50","37","3","draft"
