product_id,warehouse_id,quantity_on_hand
"1","1","149"
"1","2","90"
"1","3","146"
"2","1","67"
"2","2","57"
"2","3","146"
"3","1","98"
"3","2","152"
"3","3","178"
"4","1","92"
"4","2","193"
"4","3","156"
"5","1","76"
"5","2","108"
"5","3","177"
"6","1","189"
"6","2","67"
"6","3","64"
"7","1","191"
"7","2","52"
"7","3","50"
"8","1","145"
"8","2","92"
"8","3","189"
"9","1","191"
"9","2","117"
"9","3","100"
"10","1","133"
"10","2","182"
"10","3","89"
"11","1","179"
"11","2","170"
"11","3","62"
"12","1","122"
"12","2","52"
"12","3","147"
"13","1","186"
"13","2","70"
"13","3","93"
"14","1","180"
"14","2","156"
"14","3","188"
"15","1","152"
"15","2","173"
"15","3","136"
"16","1","197"
"16","2","96"
"16","3","177"
"17","1","113"
"17","2","167"
"17","3","103"
"18","1","132"
"18","2","56"
"18","3","81"
"19","1","123"
"19","2","124"
"19","3","129"
"20","1","86"
"20","2","65"
"20","3","125"
"21","1","130"
"21","2","70"
"21","3","166"
"22","1","58"
"22","2","183"
"22","3","95"
"23","1","108"
"23","2","100"
"23","3","120"
"24","1","77"
"24","2","194"
"24","3","194"
"25","1","174"
"25","2","169"
"25","3","135"
"26","1","76"
"26","2","127"
"26","3","79"
"27","1","118"
"27","2","106"
"27","3","142"
"28","1","55"
"28","2","118"
"28","3","155"
"29","1","197"
"29","2","152"
"29","3","185"
"30","1","83"
"30","2","142"
"30","3","133"
"31","1","138"
"31","2","145"
"31","3","180"
"32","1","101"
"32","2","199"
"32","3","98"
"33","1","175"
"33","2","157"
"33","3","117"
"34","1","136"
"34","2","77"
"34","3","182"
"35","1","51"
"35","2","105"
"35","3","52"
"36","1","114"
"36","2","100"
"36","3","158"
"37","1","176"
"37","2","124"
"37","3","90"
"38","1","170"
"38","2","101"
"38","3","75"
"39","1","101"
"39","2","118"
"39","3","161"
"40","1","167"
"40","2","187"
"40","3","88"
"41","1","71"
"41","2","100"
"41","3","82"
"42","1","136"
"42","2","139"
"42","3","174"
"43","1","175"
"43","2","62"
"43","3","75"
"44","1","149"
"44","2","104"
"44","3","123"
"45","1","150"
"45","2","147"
"45","3","93"
"46","1","155"
"46","2","78"
"46","3","200"
"47","1","198"
"47","2","149"
"47","3","152"
"48","1","70"
"48","2","68"
"48","3","194"
"49","1","197"
"49","2","131"
"49","3","186"
"50","1","155"
"50","2","110"
"50","3","185"
"51","1","140"
"51","2","153"
"51","3","60"
"52","1","168"
"52","2","197"
"52","3","183"
"53","1","153"
"53","2","57"
"53","3","155"
"54","1","85"
"54","2","193"
"54","3","94"
"55","1","74"
"55","2","125"
"55","3","126"
"56","1","55"
"56","2","191"
"56","3","90"
"57","1","68"
"57","2","165"
"57","3","198"
"58","1","109"
"58","2","160"
"58","3","180"
"59","1","176"
"59","2","60"
"59","3","103"
"60","1","50"
"60","2","71"
"60","3","71"
"61","1","94"
"61","2","70"
"61","3","97"
"62","1","186"
"62","2","77"
"62","3","124"
"63","1","50"
"63","2","111"
"63","3","200"
"64","1","108"
"64","2","188"
"64","3","57"
"65","1","110"
"65","2","80"
"65","3","126"
"66","1","195"
"66","2","66"
"66","3","200"
"67","1","161"
"67","2","176"
"67","3","97"
"68","1","200"
"68","2","120"
"68","3","156"
"69","1","108"
"69","2","175"
"69","3","112"
"70","1","101"
"70","2","54"
"70","3","166"
"71","1","85"
"71","2","67"
"71","3","55"
"72","1","59"
"72","2","181"
"72","3","91"
"73","1","62"
"73","2","193"
"73","3","176"
"74","1","185"
"74","2","68"
"74","3","84"
"75","1","70"
"75","2","61"
"75","3","146"
"76","1","101"
"76","2","115"
"76","3","159"
"77","1","192"
"77","2","189"
"77","3","181"
"78","1","72"
"78","2","143"
"78","3","103"
"79","1","150"
"79","2","139"
"79","3","55"
"80","1","197"
"80","2","147"
"80","3","144"
"81","1","170"
"81","2","119"
"81","3","200"
"82","1","70"
"82","2","113"
"82","3","95"
"83","1","168"
"83","2","145"
"83","3","61"
"84","1","200"
"84","2","136"
"84","3","105"
"85","1","62"
"85","2","144"
"85","3","73"
"86","1","169"
"86","2","151"
"86","3","67"
"87","1","125"
"87","2","157"
"87","3","160"
"88","1","76"
"88","2","57"
"88","3","127"
"89","1","54"
"89","2","199"
"89","3","193"
"90","1","129"
"90","2","64"
"90","3","124"
"91","1","164"
"91","2","99"
"91","3","121"
"92","1","83"
"92","2","131"
"92","3","145"
"93","1","195"
"93","2","155"
"93","3","161"
"94","1","152"
"94","2","186"
"94","3","129"
"95","1","196"
"95","2","158"
"95","3","153"
"96","1","149"
"96","2","53"
"96","3","111"
"97","1","131"
"97","2","110"
"97","3","51"
"98","1","172"
"98","2","193"
"98","3","50"
"99","1","186"
"99","2","156"
"99","3","66"
"100","1","96"
"100","2","91"
"100","3","155"
"101","1","159"
"101","2","143"
"101","3","166"
"102","1","62"
"102","2","52"
"102","3","57"
"103","1","171"
"103","2","51"
"103","3","59"
"104","1","124"
"104","2","189"
"104","3","58"
"105","1","186"
"105","2","54"
"105","3","60"
"106","1","52"
"106","2","129"
"106","3","161"
"107","1","124"
"107","2","52"
"107","3","174"
"108","1","61"
"108","2","57"
"108","3","82"
"109","1","117"
"109","2","112"
"109","3","114"
"110","1","64"
"110","2","170"
"110","3","170"
"111","1","149"
"111","2","101"
"111","3","76"
"112","1","85"
"112","2","109"
"112","3","148"
"113","1","68"
"113","2","98"
"113","3","147"
"114","1","178"
"114","2","125"
"114","3","169"
"115","1","149"
"115","2","141"
"115","3","114"
"116","1","163"
"116","2","157"
"116","3","199"
"117","1","126"
"117","2","193"
"117","3","102"
"118","1","65"
"118","2","162"
"118","3","139"
"119","1","150"
"119","2","84"
"119","3","172"
"120","1","53"
"120","2","105"
"120","3","60"
"121","1","137"
"121","2","128"
"121","3","106"
"122","1","153"
"122","2","166"
"122","3","53"
"123","1","122"
"123","2","67"
"123","3","174"
"124","1","165"
"124","2","177"
"124","3","66"
"125","1","150"
"125","2","115"
"125","3","57"
"126","1","51"
"126","2","158"
"126","3","134"
"127","1","105"
"127","2","52"
"127","3","131"
"128","1","176"
"128","2","53"
"128","3","118"
"129","1","165"
"129","2","165"
"129","3","141"
"130","1","52"
"130","2","67"
"130","3","143"
"131","1","166"
"131","2","155"
"131","3","113"
"132","1","87"
"132","2","140"
"132","3","105"
"133","1","190"
"133","2","115"
"133","3","92"
"134","1","88"
"134","2","189"
"134","3","186"
"135","1","137"
"135","2","78"
"135","3","157"
"136","1","196"
"136","2","132"
"136","3","200"
"137","1","150"
"137","2","143"
"137","3","196"
"138","1","99"
"138","2","60"
"138","3","100"
"139","1","168"
"139","2","67"
"139","3","64"
"140","1","90"
"140","2","165"
"140","3","156"
"141","1","101"
"141","2","163"
"141","3","182"
"142","1","60"
"142","2","93"
"142","3","99"
"143","1","164"
"143","2","195"
"143","3","126"
"144","1","102"
"144","2","162"
"144","3","196"
"145","1","192"
"145","2","71"
"145","3","80"
"146","1","165"
"146","2","97"
"146","3","129"
"147","1","143"
"147","2","166"
"147","3","103"
"148","1","70"
"148","2","132"
"148","3","66"
"149","1","140"
"149","2","141"
"149","3","94"
"150","1","98"
"150","2","185"
"150","3","174"
"151","1","148"
"151","2","112"
"151","3","57"
"152","1","135"
"152","2","171"
"152","3","178"
"153","1","114"
"153","2","67"
"153","3","158"
"154","1","71"
"154","2","182"
"154","3","167"
"155","1","117"
"155","2","80"
"155","3","99"
"156","1","142"
"156","2","114"
"156","3","174"
"157","1","163"
"157","2","179"
"157","3","51"
"158","1","135"
"158","2","94"
"158","3","177"
"159","1","153"
"159","2","189"
"159","3","88"
"160","1","127"
"160","2","129"
"160","3","146"
"161","1","57"
"161","2","125"
"161","3","136"
"162","1","73"
"162","2","105"
"162","3","87"
"163","1","106"
"163","2","136"
"163","3","106"
"164","1","143"
"164","2","123"
"164","3","195"
"165","1","133"
"165","2","111"
"165","3","106"
"166","1","167"
"166","2","74"
"166","3","198"
"167","1","194"
"167","2","114"
"167","3","180"
"168","1","145"
"168","2","54"
"168","3","170"
"169","1","143"
"169","2","183"
"169","3","175"
"170","1","67"
"170","2","112"
"170","3","191"
"171","1","66"
"171","2","111"
"171","3","180"
"172","1","190"
"172","2","126"
"172","3","69"
"173","1","50"
"173","2","78"
"173","3","180"
"174","1","70"
"174","2","85"
"174","3","57"
"175","1","162"
"175","2","197"
"175","3","156"
"176","1","119"
"176","2","115"
"176","3","65"
"177","1","145"
"177","2","131"
"177","3","114"
"178","1","51"
"178","2","161"
"178","3","125"
"179","1","120"
"179","2","56"
"179","3","191"
"180","1","87"
"180","2","70"
"180","3","198"
"181","1","140"
"181","2","76"
"181","3","131"
"182","1","99"
"182","2","114"
"182","3","200"
"183","1","160"
"183","2","135"
"183","3","186"
"184","1","157"
"184","2","102"
"184","3","194"
"185","1","102"
"185","2","136"
"185","3","112"
"186","1","171"
"186","2","57"
"186","3","94"
"187","1","50"
"187","2","200"
"187","3","121"
"188","1","130"
"188","2","170"
"188","3","191"
"189","1","64"
"189","2","137"
"189","3","179"
"190","1","187"
"190","2","144"
"190","3","80"
"191","1","105"
"191","2","185"
"191","3","195"
"192","1","75"
"192","2","184"
"192","3","86"
"193","1","190"
"193","2","62"
"193","3","70"
"194","1","168"
"194","2","183"
"194","3","189"
"195","1","174"
"195","2","196"
"195","3","62"
"196","1","170"
"196","2","166"
"196","3","126"
"197","1","94"
"197","2","81"
"197","3","79"
"198","1","108"
"198","2","67"
"198","3","108"
"199","1","74"
"199","2","59"
"199","3","180"
"200","1","121"
"200","2","73"
"200","3","84"
"201","1","72"
"201","2","51"
"201","3","160"
"202","1","166"
"202","2","192"
"202","3","140"
"203","1","113"
"203","2","132"
"203","3","186"
"204","1","179"
"204","2","55"
"204","3","160"
"205","1","98"
"205","2","182"
"205","3","146"
"206","1","175"
"206","2","120"
"206","3","180"
"207","1","59"
"207","2","132"
"207","3","102"
"208","1","168"
"208","2","103"
"208","3","180"
"209","1","80"
"209","2","198"
"209","3","162"
"210","1","137"
"210","2","155"
"210","3","85"
"211","1","145"
"211","2","67"
"211","3","169"
"212","1","116"
"212","2","67"
"212","3","188"
"213","1","85"
"213","2","178"
"213","3","132"
"214","1","177"
"214","2","61"
"214","3","97"
"215","1","155"
"215","2","51"
"215","3","179"
"216","1","58"
"216","2","188"
"216","3","115"
"217","1","69"
"217","2","143"
"217","3","173"
"218","1","74"
"218","2","101"
"218","3","196"
"219","1","53"
"219","2","144"
"219","3","155"
"220","1","54"
"220","2","104"
"220","3","140"
"221","1","127"
"221","2","88"
"221","3","93"
"222","1","175"
"222","2","97"
"222","3","142"
"223","1","186"
"223","2","114"
"223","3","50"
"224","1","160"
"224","2","190"
"224","3","168"
"225","1","118"
"225","2","51"
"225","3","146"
"226","1","108"
"226","2","179"
"226","3","163"
"227","1","148"
"227","2","139"
"227","3","107"
"228","1","185"
"228","2","172"
"228","3","149"
"229","1","192"
"229","2","109"
"229","3","94"
"230","1","102"
