id,supplier_id,status,total_amount,required_delivery_date
"1","666","confirmed","3005.48","2026-05-29"
"2","738","draft","47204.76","2026-05-24"
"3","326","partial_received","88156.03","2026-04-19"
"4","200","received","7178.87","2026-04-28"
"5","574","received","23224.29","2026-05-08"
"6","680","cancelled","137015.04","2026-04-10"
"7","320","partial_received","154631.32","2026-05-09"
"8","111","confirmed","94637.89","2026-05-02"
"9","424","confirmed","157130.45","2026-05-06"
"10","66","confirmed","90231.92","2026-05-06"
"11","541","cancelled","145557.29","2026-05-07"
"12","167","cancelled","151554.85","2026-04-16"
"13","930","draft","96202.11","2026-05-18"
"14","533","confirmed","79978.78","2026-04-19"
"15","539","received","38695.87","2026-05-24"
"16","318","cancelled","94656.12","2026-04-24"
"17","333","partial_received","190919.73","2026-03-27"
"18","687","cancelled","126527.41","2026-05-05"
"19","61","partial_received","39510.31","2026-04-27"
"20","741","partial_received","171238.98","2026-04-03"
"21","693","draft","19509.52","2026-05-10"
"22","172","received","49646.84","2026-04-21"
"23","160","confirmed","73864.40","2026-03-31"
"24","774","draft","50324.05","2026-04-25"
"25","249","draft","172011.88","2026-04-06"
"26","270","draft","151298.10","2026-05-02"
"27","598","partial_received","18748.27","2026-04-15"
"28","535","confirmed","68071.05","2026-04-21"
"29","268","draft","163677.12","2026-04-24"
"30","508","cancelled","159282.14","2026-04-18"
"31","192","partial_received","25921.12","2026-04-26"
"32","146","partial_received","147415.31","2026-04-25"
"33","466","cancelled","139911.99","2026-05-20"
"34","218","received","155298.08","2026-03-30"
"35","754","partial_received","125353.06","2026-05-16"
"36","554","confirmed","11232.22","2026-05-31"
"37","962","draft","124251.13","2026-04-13"
"38","654","confirmed","25850.67","2026-04-21"
"39","665","draft","184364.06","2026-04-10"
"40","940","confirmed","116654.40","2026-05-22"
"41","932","partial_received","72668.50","2026-05-17"
"42","426","received","66830.13","2026-03-21"
"43","714","received","93869.05","2026-04-29"
"44","390","draft","31840.80","2026-05-01"
"45","177","received","177554.18","2026-05-11"
"46","45","draft","97621.59","2026-06-05"
"47","844","cancelled","197644.71","2026-03-26"
"48","272","draft","95355.63","2026-04-09"
"49","619","partial_received","4764.08","2026-04-14"
"50","948","received","5524.54","2026-05-06"
