id,customer_id,status,total_amount,required_delivery_date
"1","246","delivered","71851.71","2026-05-13"
"2","288","cancelled","22283.50","2026-03-28"
"3","633","draft","98861.45","2026-04-29"
"4","240","confirmed","60123.90","2026-04-17"
"5","660","cancelled","48937.59","2026-03-29"
"6","425","confirmed","57094.77","2026-04-22"
"7","839","cancelled","79237.84","2026-04-24"
"8","347","draft","39584.66","2026-03-27"
"9","218","delivered","87694.27","2026-05-05"
"10","764","shipped","32033.72","2026-03-19"
"11","241","shipped","4265.72","2026-05-05"
"12","501","partially_shipped","43827.43","2026-05-09"
"13","108","delivered","17243.30","2026-03-28"
"14","803","draft","62389.73","2026-03-18"
"15","952","confirmed","90586.22","2026-04-19"
"16","456","confirmed","90373.78","2026-04-28"
"17","821","delivered","90682.29","2026-04-03"
"18","231","shipped","78153.37","2026-04-07"
"19","482","shipped","97366.13","2026-04-23"
"20","898","confirmed","40304.73","2026-04-12"
"21","779","partially_shipped","87428.43","2026-04-15"
"22","384","partially_shipped","44046.16","2026-04-03"
"23","333","cancelled","73159.39","2026-04-05"
"24","105","delivered","35389.62","2026-04-02"
"25","129","confirmed","22845.57","2026-03-24"
"26","649","confirmed","17797.87","2026-03-25"
"27","397","confirmed","77171.23","2026-03-16"
"28","415","confirmed","30792.01","2026-04-06"
"29","52","shipped","90587.61","2026-04-15"
"30","422","confirmed","78760.52","2026-04-15"
"31","85","delivered","52821.86","2026-04-06"
"32","336","partially_shipped","11332.98","2026-05-05"
"33","838","partially_shipped","56272.65","2026-04-05"
"34","607","shipped","7800.47","2026-04-17"
"35","593","partially_shipped","28949.30","2026-05-03"
"36","496","partially_shipped","55386.18","2026-04-28"
"37","524","cancelled","47543.42","2026-04-19"
"38","441","delivered","41124.44","2026-03-23"
"39","915","draft","58059.78","2026-04-25"
"40","275","draft","700.17","2026-04-02"
"41","37","partially_shipped","39471.48","2026-04-25"
"42","926","shipped","29132.70","2026-03-21"
"43","988","partially_shipped","94469.50","2026-04-30"
"44","296","partially_shipped","64219.85","2026-03-31"
"45","846","shipped","24374.11","2026-05-13"
"46","796","cancelled","81202.91","2026-04-29"
"47","816","shipped","38474.71","2026-05-04"
"48","990","partially_shipped","20605.51","2026-04-30"
"49","520","cancelled","27170.19","2026-04-09"
"50","299","draft","18078.93","2026-05-01"
