id,customer_id,status,total_amount,valid_until_date
"1","948","draft","34833.84","2026-05-16"
"2","411","accepted","17638.95","2026-05-20"
"3","738","accepted","40086.81","2026-05-18"
"4","68","rejected","18993.34","2026-05-20"
"5","342","sent","39766.35","2026-05-14"
"6","484","draft","18908.29","2026-05-24"
"7","917","rejected","23729.91","2026-05-13"
"8","818","sent","14190.40","2026-05-28"
"9","694","draft","41789.19","2026-06-06"
"10","710","rejected","22036.68","2026-05-11"
"11","233","accepted","29014.81","2026-05-27"
"12","731","accepted","9829.18","2026-05-17"
"13","644","accepted","8445.05","2026-05-19"
"14","22","sent","8525.53","2026-05-27"
"15","415","sent","41375.49","2026-05-19"
"16","383","sent","40565.00","2026-05-29"
"17","680","sent","38024.08","2026-05-29"
"18","282","draft","33981.92","2026-05-18"
"19","519","accepted","30912.52","2026-06-05"
"20","429","draft","49620.39","2026-05-09"
"21","605","rejected","870.60","2026-05-07"
"22","749","draft","34925.82","2026-06-04"
"23","398","sent","2350.33","2026-05-13"
"24","152","draft","40192.59","2026-06-06"
"25","284","draft","49045.08","2026-05-13"
"26","50","sent","43636.29","2026-05-17"
"27","729","draft","14922.96","2026-05-30"
"28","221","draft","11879.39","2026-05-27"
"29","988","rejected","16870.54","2026-05-10"
"30","214","rejected","47949.12","2026-05-20"
"31","730","rejected","18530.50","2026-05-25"
"32","989","accepted","12621.28","2026-05-28"
"33","203","sent","11746.76","2026-05-07"
"34","536","accepted","40897.03","2026-05-28"
"35","232","draft","10539.63","2026-05-08"
"36","434","draft","24718.86","2026-05-28"
"37","554","draft","32976.92","2026-06-06"
"38","207","draft","21617.89","2026-05-12"
"39","244","sent","32983.66","2026-05-26"
"40","85","rejected","19186.71","2026-05-17"
"41","810","draft","31051.31","2026-05-18"
"42","150","draft","46063.64","2026-05-18"
"43","720","accepted","11683.46","2026-05-30"
"44","691","rejected","48771.20","2026-06-05"
"45","237","draft","25290.88","2026-05-22"
"46","242","rejected","30711.77","2026-05-09"
"47","870","rejected","27097.87","2026-05-09"
"48","726","sent","9468.23","2026-05-29"
"49","501","accepted","26768.48","2026-05-10"
"50","34","sent","22990.03","2026-05-20"
"51","362","accepted","21776.10","2026-05-31"
"52","857","rejected","18650.82","2026-05-26"
"53","238","accepted","12008.30","2026-05-21"
"54","400","accepted","9285.76","2026-05-12"
"55","295","rejected","34762.77","2026-05-31"
"56","758","rejected","35235.89","2026-05-31"
"57","344","accepted","30331.91","2026-06-02"
"58","607","sent","30361.40","2026-05-08"
"59","430","draft","5875.68","2026-05-12"
"60","943","rejected","6312.56","2026-05-20"
"61","873","accepted","25117.83","2026-05-13"
"62","459","accepted","18257.51","2026-05-25"
"63","134","rejected","23429.61","2026-05-07"
"64","22","rejected","9875.56","2026-06-01"
"65","530","rejected","16540.43","2026-05-14"
"66","644","rejected","17030.81","2026-05-11"
"67","347","sent","12940.05","2026-05-30"
"68","909","rejected","39522.18","2026-06-02"
"69","705","draft","48323.13","2026-06-04"
"70","458","sent","40426.91","2026-05-19"
"71","839","sent","4412.91","2026-05-27"
"72","638","rejected","1332.25","2026-05-30"
"73","753","draft","9740.77","2026-06-03"
"74","38","rejected","9503.89","2026-05-14"
"75","351","draft","49157.33","2026-05-27"
"76","982","accepted","29099.39","2026-06-04"
"77","725","accepted","45717.46","2026-05-10"
"78","478","accepted","7575.45","2026-06-03"
"79","637","draft","45265.58","2026-06-05"
"80","40","accepted","21792.70","2026-05-27"
"81","634","sent","3944.49","2026-06-02"
"82","510","rejected","22332.49","2026-05-29"
"83","851","rejected","1545.03","2026-06-04"
"84","405","accepted","1367.68","2026-06-02"
"85","247","accepted","12096.13","2026-05-08"
"86","628","accepted","6495.13","2026-05-11"
"87","577","rejected","36918.54","2026-05-08"
"88","453","rejected","4796.01","2026-05-20"
"89","90","sent","44015.37","2026-05-28"
"90","553","rejected","48250.39","2026-05-19"
"91","440","sent","36894.49","2026-05-09"
"92","873","accepted","22776.64","2026-05-22"
"93","16","draft","14177.26","2026-06-03"
"94","763","draft","26637.04","2026-05-13"
"95","805","sent","2211.53","2026-05-29"
"96","821","sent","29583.93","2026-06-05"
"97","899","draft","18915.60","2026-05-10"
"98","280","rejected","18410.24","2026-05-19"
"99","847","draft","27198.09","2026-05-19"
"100","959","accepted","24068.65","2026-06-04"
