id,warehouse_id,status
"1","1","confirmed"
"2","2","draft"
"3","3","draft"
"4","3","completed"
"5","1","completed"
"6","1","draft"
"7","1","completed"
"8","1","confirmed"
"9","1","draft"
"10","1","draft"
"11","2","draft"
"12","3","confirmed"
"13","2","draft"
"14","3","confirmed"
"15","2","confirmed"
"16","1","draft"
"17","1","completed"
"18","2","completed"
"19","3","completed"
"20","3","confirmed"
"21","1","completed"
"22","1","completed"
"23","1","completed"
"24","2","completed"
"25","1","draft"
"26","3","confirmed"
"27","1","completed"
"28","2","confirmed"
"29","2","draft"
"30","1","completed"
