id,supplier_id,purchase_order_id,status,total_amount,due_date
"1","21","38","draft","13710.97","2026-04-08"
"2","951","17","cancelled","34310.64","2026-05-18"
"3","503","33","paid","47284.87","2026-06-01"
"4","822","18","issued","32347.60","2026-04-16"
"5","49","7","issued","49008.96","2026-05-12"
"6","254","42","sent","34791.88","2026-04-21"
"7","995","40","cancelled","43968.42","2026-05-31"
"8","554","31","paid","48993.52","2026-05-28"
"9","425","47","overdue","17596.08","2026-05-20"
"10","346","2","issued","46822.06","2026-05-27"
"11","781","27","overdue","20458.58","2026-04-15"
"12","547","41","overdue","7317.20","2026-04-18"
"13","1","24","overdue","15783.55","2026-05-13"
"14","659","29","issued","4811.08","2026-05-05"
"15","53","32","paid","37609.72","2026-06-06"
"16","580","13","cancelled","18439.73","2026-05-08"
"17","782","6","sent","15501.07","2026-05-21"
"18","825","16","overdue","49375.40","2026-05-08"
"19","954","17","partial_paid","49829.74","2026-04-08"
"20","922","49","sent","45379.71","2026-04-25"
"21","962","20","overdue","36037.83","2026-05-12"
"22","660","40","overdue","21179.30","2026-05-09"
"23","837","29","draft","127.40","2026-05-03"
"24","589","13","partial_paid","34269.18","2026-04-13"
"25","53","46","sent","35159.02","2026-05-11"
"26","963","45","sent","27453.29","2026-05-27"
"27","445","34","partial_paid","47854.67","2026-04-18"
"28","138","33","issued","30072.87","2026-05-26"
"29","623","39","issued","15443.46","2026-05-28"
"30","590","39","overdue","23606.01","2026-04-29"
"31","740","34","draft","40791.06","2026-04-17"
"32","892","32","overdue","27060.07","2026-05-24"
"33","972","40","cancelled","40879.90","2026-05-31"
"34","803","38","paid","102.70","2026-04-08"
"35","954","12","paid","29724.76","2026-05-04"
"36","185","2","issued","27043.88","2026-05-20"
"37","73","49","draft","14603.25","2026-06-02"
"38","978","40","partial_paid","46668.13","2026-04-27"
"39","897","38","cancelled","32459.00","2026-04-25"
"40","229","6","paid","3055.82","2026-04-14"
"41","710","19","draft","12863.17","2026-05-02"
"42","895","21","sent","5332.63","2026-04-12"
"43","66","23","paid","32308.58","2026-06-04"
"44","62","33","sent","24883.12","2026-04-22"
"45","804","10","issued","25897.33","2026-05-14"
"46","990","16","overdue","6567.61","2026-04-20"
"47","898","30","draft","26809.54","2026-05-12"
"48","960","13","sent","11977.34","2026-05-25"
"49","657","41","cancelled","10020.31","2026-06-02"
"50","807","6","partial_paid","30521.19","2026-06-03"
